metric_key,metric_name,metric_category,source_system,source_dataset,schema_fields,start_date,end_date,event_name,aggregation,property,group_by,group_value,value
"signups_total","Total Signups","Activation","PostHog","events","users._id; users.role; users.discoverySource; users.medicalProvince","2026-08-01","2026-08-07","user_signed_up","count","","role","physician","2"
"signups_total","Total Signups","Activation","PostHog","events","users._id; users.role; users.discoverySource; users.medicalProvince","2026-08-01","2026-08-07","user_signed_up","count","","role","clinic","1"
"physician_signups","Physician Signups","Activation","PostHog","events","users.role","2026-08-01","2026-08-07","user_signed_up","count","","province","ON","1"
"physician_signups","Physician Signups","Activation","PostHog","events","users.role","2026-08-01","2026-08-07","user_signed_up","count","","province","BC","1"
"clinic_signups","Clinic Signups","Activation","PostHog","events","users.role","2026-08-01","2026-08-07","user_signed_up","count","","province","ON","1"
"activation_onboarding_started","Onboarding Started","Activation","PostHog","events","users.onboardingStep; users.isOnboardingCompleted","2026-08-01","2026-08-07","onboarding_started","unique_users","","role","physician","2"
"activation_onboarding_completed","Onboarding Completed","Activation","PostHog","events","users.isOnboardingCompleted","2026-08-01","2026-08-07","onboarding_completed","unique_users","","role","physician","1"
"profile_completed","Profile Completed","Activation","PostHog","events","users.isProfileComplete; users.profile.profileCompletion","2026-08-01","2026-08-07","profile_completed","unique_users","","role","physician","1"
"locum_searches","Locum Searches","Job Discovery","PostHog","events","users.preferences.preferredProvinces; users.medSpeciality","2026-08-01","2026-08-07","locum_search_started","count","","province","ON","1"
"locum_searches","Locum Searches","Job Discovery","PostHog","events","users.preferences.preferredProvinces; users.medSpeciality","2026-08-01","2026-08-07","locum_search_started","count","","province","BC","1"
"locum_views","Locum Views","Job Discovery","PostHog","events","locums._id; locums.medSpeciality; locums.fullAddress.province","2026-08-01","2026-08-07","locum_viewed","count","","province","ON","2"
"locum_views_by_specialty","Locum Views By Specialty","Job Discovery","PostHog","events","locums.medSpeciality","2026-08-01","2026-08-07","locum_viewed","count","","specialty","Family Medicine","1"
"locum_views_by_specialty","Locum Views By Specialty","Job Discovery","PostHog","events","locums.medSpeciality","2026-08-01","2026-08-07","locum_viewed","count","","specialty","Radiology","1"
"locum_saves","Locum Saves","Job Discovery","PostHog","events","users.reservationsList.savedLocums; locums._id","2026-08-01","2026-08-07","locum_saved","count","","","All","1"
"locum_applications","Locum Applications","Conversion","PostHog","events","users.reservationsList.appliedLocums; locums._id","2026-08-01","2026-08-07","locum_applied","count","","province","ON","2"
"locum_applications_by_specialty","Locum Applications By Specialty","Conversion","PostHog","events","locums.medSpeciality","2026-08-01","2026-08-07","locum_applied","count","","specialty","Family Medicine","1"
"locum_applications_by_specialty","Locum Applications By Specialty","Conversion","PostHog","events","locums.medSpeciality","2026-08-01","2026-08-07","locum_applied","count","","specialty","Radiology","1"
"reservation_created","Reservations Created","Conversion","PostHog","events","users.reservationsList.reservedLocums; locums.reservationId","2026-08-01","2026-08-07","reservation_created","count","","province","ON","1"
"locum_completion","Completed Locums","Conversion","PostHog","events","users.reservationsList.completedLocums","2026-08-01","2026-08-07","locum_completed","count","","province","ON","1"
"clinic_created_postings","Clinic Created Postings","Demand Activation","PostHog","events","users.reservationsList.createdLocums; locums.locumCreator","2026-08-01","2026-08-07","clinic_created_posting","count","","province","ON","2"
"clinic_created_postings_by_specialty","Clinic Created Postings By Specialty","Demand Activation","PostHog","events","locums.medSpeciality","2026-08-01","2026-08-07","clinic_created_posting","count","","specialty","Radiology","1"
"clinic_created_postings_by_specialty","Clinic Created Postings By Specialty","Demand Activation","PostHog","events","locums.medSpeciality","2026-08-01","2026-08-07","clinic_created_posting","count","","specialty","Family Medicine","1"
"clinic_filled_postings","Clinic Filled Postings","Marketplace Liquidity","PostHog","events","locums.reservationId","2026-08-01","2026-08-07","clinic_filled_posting","count","","province","ON","1"
"marketplace_gmv_completed","Marketplace GMV Completed","Revenue Proxy","PostHog","events","locums.locumPay","2026-08-01","2026-08-07","locum_completed","sum","pay","province","ON","1800"
"average_completed_locum_pay","Average Completed Locum Pay","Revenue Proxy","PostHog","events","locums.locumPay","2026-08-01","2026-08-07","locum_completed","avg","pay","province","ON","1800"
"notification_clicks","Notification Clicks","Engagement","PostHog","events","users.notificationConsent; users.notificationFrequency","2026-08-01","2026-08-07","notification_clicked","count","","notification_type","new_match","1"
